coordinates
org.epos-eu.ics-c:router-framework:0.0.6e
com.dimafeng:testcontainers-scala-scalatest-selenium_2.11:0.39.1
io.github.eaglesakura.flexible-thread-pool-dispatcher:flexible-thread-pool-dispatcher:1.0.0
io.github.vigoo:zio-aws-kafka_2.13:3.16.6.1
com.guicedee.services:hibernate-validator:1.0.19.4-jre15
org.springframework.cloud:spring-cloud-starter-kubernetes-client:2.0.0
com.google.cloud:google-cloud-storage:1.12.0
net.sourceforge.pldoc:pldoc:1.5.19
ru.tinkoff:tofu-enums_2.12:0.9.0
com.lihaoyi:ammonite-repl-api_2.12.9:2.3.8
com.jwebmp.plugins.forms:jwebmp-quickforms:1.0.19.0-jre14
io.github.vigoo:zio-aws-apigatewaymanagementapi_2.12:3.16.20.2
com.liferay:com.liferay.portal.settings.lang:1.0.48
org.uberfire:uberfire-all:7.49.0.Final
io.smallrye:smallrye-graphql-common-parent:1.1.0
software.amazon.awssdk:appsync:2.14.10
org.wso2.carbon.identity.userstore.ldap:org.wso2.carbon.ldap.server:6.2.6
org.mozilla.deepspeech:libdeepspeech:0.5.0-alpha.4
com.liferay:com.liferay.layout.type.controller.link.to.page:3.0.13
org.neo4j.gds:experimental-test-utils:1.4.2
com.xlrit.gears.runtime:gears-base:0.15
io.quarkus:quarkus-tika:1.7.4.Final
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.mgt.stub:5.19.57
com.twilio:video-android:2.0.0-preview5
com.lightbend.cloudflow:cloudflow-blueprint_2.12:2.0.22-NIGHTLY20210201
com.amazonaws:aws-java-sdk-machinelearning:1.11.921
com.github.niqdev:caliban-refined_2.13:0.1.5
io.github.vigoo:zio-aws-workdocs_2.12:3.15.71.2
io.intercom:intercom-java:2.2.6
software.amazon.awssdk:annotations:2.14.17
com.github.toto-castaldi:java8:1.1
org.noear:weed3-solon-plugin:1.2.17
org.springframework.integration:spring-integration-http:5.4.4
net.dongliu:requests:4.8.2
software.amazon.awssdk:iot:2.15.21
org.dkpro.core:dkpro-core-api-semantics-asl:2.2.0
com.github.andyglow:scala-jsonschema-joda-time_2.13:0.4.0
io.get-coursier:coursier-cats-interop_sjs1_2.12:2.0.5
org.typelevel:coop_3.0.0-M3:1.0.0-M3
com.mastfrog:acteur-deprecated:2.7.1
io.github.shiruka:api:2.43.2
com.kushkipagos:kushki-android:1.3.20-a.1
org.apache.karaf:karaf:4.0.0.M3
com.diffplug.spotless:spotless-lib:2.13.0
org.wso2.carbon.mediation:org.wso2.carbon.mediation.configadmin.server.feature:4.7.76
io.github.vigoo:zio-aws-medialive_2.13:3.15.19.9
org.locationtech.geomesa:geomesa-spark-sql_2.11:2.4.2
org.openksavi.sponge:sponge-test:1.16.3
com.apollographql.apollo:apollo-normalized-cache:2.4.1
org.wildfly:wildfly-clustering-infinispan-spi:22.0.1.Final
org.grails:grails-web-mvc:4.0.5
net.n2oapp.context:static-context:7.12.9
io.github.vigoo:zio-aws-datasync_2.12:3.15.45.1
net.masterthought:cucumber-reporting:0.2.1
org.craftercms:crafter-commons-plugin:3.1.13E
org.wso2.carbon.identity.framework:org.wso2.carbon.policyeditor.ui:5.19.48
com.thoughtworks.dsl:keywords-each_sjs0.6_2.11:1.5.3+32-206e49cf
com.ibeetl:beetl-framework-starter:1.2.32.Beetl.RELEASE
net.exoego:aws-sdk-scalajs-facade-lightsail_sjs1_2.13:0.32.0-v2.798.0
com.codacy:codacy-plugins_2.12:21.3.0_play_2.7
io.github.vigoo:zio-aws-worklink_2.12:3.15.73.2
org.eclipse.dirigible:dirigible-commons-config:5.8.4
io.github.vigoo:zio-aws-marketplacemetering_2.12:3.16.13.1
io.github.vigoo:zio-aws-amplify_2.12:3.15.58.1
com.amazonaws:aws-java-sdk-codegurureviewer:1.11.878
io.github.vigoo:zio-aws-costandusagereport_2.12:3.15.45.1
org.openjfx:javafx-media:16-ea+6
za.co.absa.enceladus:utils:2.14.0
com.guicedee.services:commons-compress:1.1.0.5-jre15
org.kie.workbench.services:kie-wb-common-compiler-service:7.45.0.t20201009
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.script.library.v1:1.0.194
com.daml:daml-lf-data_2.12:1.9.0-snapshot.20210119.6062.0.5b3663a5
com.cjxch.supermybatis:super-mybatis-cache-redis:1.1.0
org.duracloud.snapshot:bridge:3.0.0
io.annot8:annot8-impl-tck:0.5.0
software.amazon.awssdk:greengrass:2.15.75
io.activej:activej-codec:4.0-beta1
com.gitee.l0km:common-swift-metadata:1.3.8
com.github.3mph4515:gradle-hockeyapp-plugin:3.7.1
org.scala-sbt:zinc_2.12:1.4.0-M13
ai.ylyue:yue-library-web:j8.2.3.1
com.outr:scribe-slack_2.12:3.1.1
pl.allegro.tech.hermes:hermes-schema:0.15.0
com.liferay.commerce:com.liferay.headless.commerce.admin.pricing.impl:1.0.54
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.registration:5.18.130
org.apache.zeppelin:zengine-plugins-parent:0.9.0
io.janstenpickle:trace4cats-jaeger-thrift-exporter_2.13:0.5.2
com.liferay:com.liferay.roles.admin.web:1.0.77
org.apache.camel.quarkus:camel-quarkus-validator-deployment:1.5.0
io.quarkus:quarkus-mongodb-panache-common-deployment:1.11.0.CR1
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.provisioning:5.18.117
software.amazon.awssdk:schemas:2.15.49
io.janstenpickle:trace4cats-stackdriver-common_2.12:0.9.0+98-062f2c8a
com.jwebmp.plugins.jquery:jwebmp-jqui-themes:1.1.1.1-SP1
org.scala-lang:scala3-tasty-inspector_3.0.0-RC1:3.0.0-RC1-bin-20201229-d932af9-NIGHTLY
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.internal.service:6.8.53
de.sciss:lucre-synth_2.12:4.6.0
org.reaktivity:ry-bom:0.618
com.liferay.portal:com.liferay.portal.web:1.0.220
it.uniroma2.art.coda:coda-standalone:1.7.1
org.noear:solon.extend.properties.yaml:1.0.43
net.n2oapp.platform:n2o-platform-web-autoconfigure:3.0.5
com.vaadin:vaadin-board-testbench:18.0.3
com.liferay:com.liferay.captcha.api:3.1.0
io.buoyant:linkerd-core_2.11:0.8.3
io.grpc:grpc-core:1.0.1
com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.0.6
org.bitbucket.bradleysmithllc.etlunit:etlunit-h2-database:etlunit-4.2.5
com.fireflysource:firefly-framework:5.0.0-alpha6
io.github.animatedledstrip:animatedledstrip-core-jvm:1.0.0-pre2.1
org.kie.kogito:process-mongodb-persistence-quarkus:1.3.0.Final
io.github.vigoo:zio-aws-chime_2.13:3.15.73.1
org.apache.tomcat:tomcat-catalina-ant:7.0.8
com.khipu:khipu-api-client:2.4.0
org.apereo.cas:cas-server-support-ldap-core:5.3.16
io.janstenpickle:trace4cats-inject-zio_2.13:0.6.0+66-03a73d22
com.huaweicloud.sdk:huaweicloud-sdk-dcs:3.0.33-rc
io.kotest:kotest-framework-engine-js:4.3.2
org.json4s:json4s-ext_2.13:3.7.0-M8
io.github.vigoo:zio-aws-wafv2_2.13:3.15.79.1
