number,coordinate,dependencies
13,com.brienwheeler.lib:lib-svc:1.0-RELEASE,com.brienwheeler.lib:lib-svc:1.0-RELEASE;com.brienwheeler.lib:lib-logging:1.0-RELEASE;commons-logging:commons-logging-api:1.1;com.brienwheeler.lib:lib-logging-defconfig:1.0-RELEASE;commons-logging:commons-logging:1.1.2;log4j:log4j:1.2.16;com.brienwheeler.lib:lib-monitor:1.0-RELEASE;org.json:json:20090211;com.brienwheeler.lib:lib-spring-beans:1.0-RELEASE;org.springframework:spring-beans:3.2.9.RELEASE;org.springframework:spring-core:3.2.9.RELEASE;org.springframework:spring-context:3.2.9.RELEASE;org.springframework:spring-aop:3.2.9.RELEASE;aopalliance:aopalliance:1.0;org.springframework:spring-expression:3.2.9.RELEASE;com.brienwheeler.lib:lib-util:1.0-RELEASE;org.aspectj:aspectjrt:1.6.11
14,com.google.apis:google-api-services-doubleclicksearch:v2-rev99-1.21.0,com.google.apis:google-api-services-doubleclicksearch:v2-rev99-1.21.0;com.google.api-client:google-api-client:1.21.0;com.google.oauth-client:google-oauth-client:1.21.0;com.google.http-client:google-http-client:1.21.0;org.apache.httpcomponents:httpclient:4.0.1;org.apache.httpcomponents:httpcore:4.0.1;commons-logging:commons-logging:1.1.1;commons-codec:commons-codec:1.3;com.google.code.findbugs:jsr305:1.3.9;com.google.http-client:google-http-client-jackson2:1.21.0;com.fasterxml.jackson.core:jackson-core:2.1.3;com.google.guava:guava-jdk5:17.0
15,com.github.freegeese:easy-excel:1.0.3,com.github.freegeese:easy-excel:1.0.3;org.apache.poi:poi:3.15-beta1;commons-codec:commons-codec:1.10;org.apache.poi:poi-ooxml:3.15-beta1;org.apache.poi:poi-ooxml-schemas:3.15-beta1;org.apache.xmlbeans:xmlbeans:2.6.0;stax:stax-api:1.0.1;com.github.virtuald:curvesapi:1.03
16,com.github.michael-rapp:apriori:2.0.0,com.github.michael-rapp:apriori:2.0.0;org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.2.61;org.jetbrains.kotlin:kotlin-stdlib:1.2.61;org.jetbrains.kotlin:kotlin-stdlib-common:1.2.61;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.2.61;com.github.michael-rapp:java-util:2.0.2;org.jetbrains:annotations:15.0;org.slf4j:slf4j-api:1.8.0-beta4
17,com.fizzed:jne:3.0.1,com.fizzed:jne:3.0.1;org.slf4j:slf4j-api:1.7.13
18,com.facebook.presto:presto-tests:0.99,com.facebook.presto:presto-tests:0.99;com.facebook.presto:presto-client:0.99;javax.validation:validation-api:1.1.0.Final;com.google.code.findbugs:annotations:2.0.3;com.facebook.presto:presto-parser:0.99;com.fasterxml.jackson.core:jackson-core:2.4.4;com.fasterxml.jackson.core:jackson-databind:2.4.4;org.antlr:antlr4-runtime:4.3;org.abego.treelayout:org.abego.treelayout.core:1.0.1;org.antlr:antlr4-annotations:4.3;com.facebook.presto:presto-main:0.99;org.jruby.joni:joni:2.0.0;org.jruby.jcodings:jcodings:1.0.8;it.unimi.dsi:fastutil:6.5.9;io.airlift:concurrent:0.104;io.airlift:configuration:0.104;cglib:cglib-nodep:2.2.2;io.airlift:event:0.104;io.airlift:jmx-http:0.104;io.airlift:log-manager:0.104;org.slf4j:jul-to-slf4j:1.7.5;org.slf4j:log4j-over-slf4j:1.7.5;org.slf4j:jcl-over-slf4j:1.7.5;org.slf4j:slf4j-api:1.7.5;ch.qos.logback:logback-classic:1.0.13;io.airlift.resolver:resolver:1.1;org.sonatype.aether:aether-spi:1.13.1;org.sonatype.aether:aether-impl:1.13.1;org.sonatype.aether:aether-util:1.13.1;org.sonatype.aether:aether-connector-file:1.13.1;org.sonatype.aether:aether-connector-asynchttpclient:1.13.1;com.ning:async-http-client:1.6.5;io.netty:netty:3.6.2.Final;org.apache.maven:maven-core:3.0.4;org.apache.maven:maven-settings:3.0.4;org.apache.maven:maven-settings-builder:3.0.4;org.apache.maven:maven-repository-metadata:3.0.4;org.apache.maven:maven-plugin-api:3.0.4;org.apache.maven:maven-model-builder:3.0.4;org.codehaus.plexus:plexus-interpolation:1.14;org.codehaus.plexus:plexus-utils:2.0.6;org.codehaus.plexus:plexus-component-annotations:1.5.5;org.sonatype.plexus:plexus-sec-dispatcher:1.3;org.apache.maven:maven-model:3.0.4;org.apache.maven:maven-artifact:3.0.4;org.apache.maven:maven-aether-provider:3.0.4;org.apache.maven:maven-embedder:3.0.4;org.apache.maven:maven-compat:3.0.4;org.apache.maven.wagon:wagon-provider-api:2.2;org.sonatype.plexus:plexus-cipher:1.7;org.codehaus.plexus:plexus-container-default:1.5.5;org.apache.xbean:xbean-reflect:3.4;org.codehaus.plexus:plexus-classworlds:2.4;io.airlift:trace-token:0.104;org.openjdk.jol:jol-core:0.2;javax.servlet:javax.servlet-api:3.1.0;javax.annotation:javax.annotation-api:1.2;javax.ws.rs:javax.ws.rs-api:2.0.1;com.google.inject.extensions:guice-multibindings:4.0-beta5;org.sonatype.aether:aether-api:1.13.1;org.ow2.asm:asm-all:4.1;com.facebook.presto:presto-spi:0.99;com.facebook.presto:presto-tpch:0.99;io.airlift:bootstrap:0.104;io.airlift:discovery:0.104;io.airlift.discovery:discovery-server:1.22;io.airlift:jmx-http-rpc:0.103;com.fasterxml.jackson.dataformat:jackson-dataformat-smile:2.4.4;org.iq80.leveldb:leveldb-api:0.7;org.iq80.leveldb:leveldb:0.7;io.airlift:http-client:0.104;org.eclipse.jetty:jetty-client:9.2.8.v20150217;org.eclipse.jetty:jetty-io:9.2.8.v20150217;org.eclipse.jetty:jetty-util:9.2.8.v20150217;org.eclipse.jetty:jetty-http:9.2.8.v20150217;io.airlift:http-server:0.104;org.eclipse.jetty:jetty-server:9.2.8.v20150217;org.eclipse.jetty:jetty-servlet:9.2.8.v20150217;org.eclipse.jetty:jetty-servlets:9.2.8.v20150217;org.eclipse.jetty:jetty-continuation:9.2.8.v20150217;org.eclipse.jetty:jetty-security:9.2.8.v20150217;org.eclipse.jetty:jetty-jmx:9.2.8.v20150217;ch.qos.logback:logback-core:1.0.13;io.airlift:jaxrs:0.104;org.glassfish.jersey.core:jersey-common:2.12;org.glassfish.jersey.bundles.repackaged:jersey-guava:2.12;org.glassfish.hk2:hk2-api:2.3.0-b10;org.glassfish.hk2:hk2-utils:2.3.0-b10;org.glassfish.hk2:hk2-locator:2.3.0-b10;org.javassist:javassist:3.18.1-GA;org.glassfish.hk2:osgi-resource-locator:1.0.1;org.glassfish.jersey.core:jersey-server:2.12;org.glassfish.jersey.core:jersey-client:2.12;org.glassfish.jersey.containers:jersey-container-servlet-core:2.12;org.apache.bval:bval-jsr303:0.5;org.apache.bval:bval-core:0.5;commons-beanutils:commons-beanutils-core:1.8.3;org.apache.commons:commons-lang3:3.1;io.airlift:jmx:0.104;io.airlift:json:0.104;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.4.4;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.4.4;com.fasterxml.jackson.datatype:jackson-datatype-guava:2.4.4;com.fasterxml.jackson.datatype:jackson-datatype-joda:2.4.4;io.airlift:log:0.104;io.airlift:node:0.104;io.airlift:slice:0.10;io.airlift:stats:0.104;io.airlift.tpch:tpch:0.4;io.airlift:units:0.104;io.airlift:testing:0.104;com.fasterxml.jackson.core:jackson-annotations:2.4.4;com.google.guava:guava:18.0;com.google.inject:guice:4.0-beta5;aopalliance:aopalliance:1.0;joda-time:joda-time:2.4;org.jdbi:jdbi:2.55;org.weakref:jmxutils:1.18;org.apache.commons:commons-math3:3.2;javax.inject:javax.inject:1;org.testng:testng:6.8.7;org.beanshell:bsh:2.0b4;com.beust:jcommander:1.27;org.yaml:snakeyaml:1.12;com.h2database:h2:1.3.170
19,com.feedzai:pdb:2.2.0,com.feedzai:pdb:2.2.0;com.google.guava:guava:18.0;org.slf4j:slf4j-api:1.7.25;org.apache.commons:commons-lang3:3.7;commons-codec:commons-codec:1.10;com.google.inject:guice:4.1.0;javax.inject:javax.inject:1;aopalliance:aopalliance:1.0
20,com.gitee.ainilili:nolog:1.1.3,com.gitee.ainilili:nolog:1.1.3;log4j:log4j:1.2.17;org.slf4j:slf4j-api:1.7.25
21,com.github.yamingd.argo:argo-service:2.1.2,com.github.yamingd.argo:argo-service:2.1.2;com.github.yamingd.argo:argo-yaml:1.2;org.yaml:snakeyaml:1.13;com.github.yamingd.argo:annotations:2.2.0;org.slf4j:jul-to-slf4j:1.5.11;com.github.yamingd.argo:argo-db:2.2.7;org.springframework:spring-jdbc:3.2.12.RELEASE;com.jolbox:bonecp:0.8.0.RELEASE;mysql:mysql-connector-java:5.1.36;com.jolbox:bonecp-spring:0.8.0.RELEASE;commons-logging:commons-logging:1.2;org.aspectj:aspectjweaver:1.8.7;org.springframework:spring-context:3.2.11.RELEASE;org.springframework:spring-aop:3.2.11.RELEASE;aopalliance:aopalliance:1.0;org.springframework:spring-beans:3.2.11.RELEASE;org.springframework:spring-core:3.2.11.RELEASE;org.springframework:spring-expression:3.2.11.RELEASE;org.aspectj:aspectjrt:1.8.7;com.google.guava:guava:18.0;com.github.yamingd.argo:argo-util:2.1;org.apache.httpcomponents:httpmime:4.5.1;org.apache.httpcomponents:httpclient:4.5.1;org.apache.httpcomponents:httpcore:4.4.3;commons-codec:commons-codec:1.9;eu.medsea.mimeutil:mime-util:2.1.3;org.slf4j:slf4j-log4j12:1.5.6;log4j:log4j:1.2.14;com.google.code.gson:gson:2.3.1;org.msgpack:msgpack:0.6.12;com.googlecode.json-simple:json-simple:1.1.1;org.javassist:javassist:3.18.1-GA;ch.qos.logback:logback-classic:1.0.13;ch.qos.logback:logback-core:1.0.13;com.github.yamingd.argo:argo-redis:2.2.0;redis.clients:jedis:2.7.3;org.apache.commons:commons-pool2:2.3;org.springframework:spring-tx:3.2.12.RELEASE;org.apache.commons:commons-lang3:3.1;org.slf4j:slf4j-api:1.7.5
22,cn.edu.tsinghua:iotdb-jdbc:0.6.0,cn.edu.tsinghua:iotdb-jdbc:0.6.0;cn.edu.tsinghua:tsfile:0.6.0;ch.qos.logback:logback-classic:1.1.3;ch.qos.logback:logback-core:1.1.3;org.slf4j:slf4j-api:1.7.7;org.json:json:20140107;org.apache.thrift:libthrift:0.9.1;org.apache.commons:commons-lang3:3.1;org.xerial.snappy:snappy-java:1.0.5-M1;commons-io:commons-io:2.5;joda-time:joda-time:2.9.9
