package_name,version
org.wso2.identity.apps:myaccount,0.0.84
com.yoti.mobile.android:documentscanconfig,3.12.3
com.expediagroup.streamplatform:stream-registry-core,0.14.2
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt,6.8.24
no.priv.bang.oldalbum:docker,1.5.0
com.netflix.genie:genie-common-internal,4.0.0-rc.90
org.opendaylight.mdsal:odl-mdsal-exp-yanglib-rfc8525,0.11.6
com.jwebmp.plugins.angular:jwebmp-angular-slim-scroll,1.1.1.2-jre14
software.amazon.awssdk:personalizeevents,2.16.27
io.github.vigoo:zio-aws-rekognition_2.13,3.15.60.1
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.script.library.v1,1.0.213
org.eclipse.dirigible:dirigible-api-javascript-bpm,5.8.2
org.wso2.carbon.identity.framework:org.wso2.carbon.captcha.mgt,5.18.123
com.amazonaws:aws-java-sdk-mediastore,1.11.973
ch.epfl.lamp:dotty-tasty-inspector_0.28,0.28.0-bin-20200914-cbb05c8-NIGHTLY
com.amazonaws:aws-java-sdk-personalizeruntime,1.11.916
io.janstenpickle:trace4cats-sttp-common_2.13,0.9.0+15-e25cfe91
com.jwebmp.plugins.javascript:jwebmp-easing-effects,1.0.19.9
com.commercetools.sdk:rmf-java-base,3.1.1
io.shiftleft:dataflowengineoss_2.13,1.3.71
io.stargate.it:testing,0.0.27
com.yahoo.vespa:standalone-container,7.277.38
software.amazon.awssdk:lightsail,2.15.9
com.codacy:codacy-plugins_2.12,22.2.2_play_2.7
com.liferay.commerce:com.liferay.commerce.account.item.selector.web,3.0.7
co.fs2:fs2-reactive-streams_2.12,2.5-8-6987ac1
com.github.teakfly:teafly-common-gateway,1.0.35
com.softwaremill.sttp.client3:async-http-client-backend-future_2.11,3.0.0-RC6
com.lihaoyi:mill-scalalib-backgroundwrapper,0.8.0-28-3e4d9a
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.permission.management,1.0.184
io.janstenpickle:trace4cats-core_2.13,0.6.0+85-a4aac290
org.finos.legend.pure:legend-pure-m3-platform,1.1.1
io.zonky.test.postgres:embedded-postgres-binaries-linux-arm64v8,9.6.16-1
io.github.vigoo:zio-aws-autoscalingplans_2.12,3.15.68.2
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.authorization.category.feature,5.18.221
com.softwaremill.sttp.tapir:tapir-jsoniter-scala_2.13,0.17.5
org.wso2.carbon.identity.framework:org.wso2.carbon.policyeditor,5.18.96
com.softwaremill.sttp.client3:cats_2.12,3.1.3
io.micronaut:micronaut-messaging,1.1.3
com.jwebmp.plugins.angular:jwebmp-text-angular,1.0.19.3-jre8
io.fabric8:kubernetes-model-autoscaling,4.13.0
io.github.vigoo:zio-aws-auditmanager_2.12,3.15.45.1
org.sdase.commons:sda-commons-shared-asyncapi,2.3.0
com.liferay.commerce:com.liferay.commerce.checkout.web,4.0.14
com.liferay:com.liferay.flags.service,3.0.2
io.github.vigoo:zio-aws-http4s_2.12,3.16.16.1
io.taig:taigless-mailbox-flog_2.13,0.2.11
org.swisspush.gateleen:gateleen-expansion,1.1.59
org.eclipse.rdf4j:rdf4j-sail-api,3.4.4
com.day.crx:crx-api,2.4.13
io.janstenpickle:trace4cats-sttp-client_2.12,0.9.0+108-db344acb
com.liferay:com.liferay.portal.security.service.access.quota.api,2.0.14
io.zeebe:zeebe-qa-integration-tests,0.25.0-rc1
com.day.cq.wcm:cq-wcm-api,5.2.12
org.http4k:http4k-bom,4.3.2.2
com.guicedee.services:commons-beanutils,1.0.19.13
org.http4k:http4k-format-jackson-xml,4.3.2.0
software.amazon.awssdk:aws-ion-protocol,2.15.31
org.wso2.carbon.mediation:org.wso2.carbon.mediator.clazz.services,4.7.65
com.guicedee.services:json,1.0.19.11-jre8
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.consent.mgt.server.feature,5.18.218
com.github.dreamroute:mybatis-pro-core,1.0.3
org.wso2.carbon.identity.framework:carbon-authenticator-features,5.18.232
org.neo4j:neo4j-cypher-ir,4.1.2
org.apache.camel:camel-wordpress,3.7.0
com.liferay:com.liferay.asset.categories.selector.web,2.0.29
software.amazon.awssdk:appsync,2.15.38
com.ibm.cloud:iam-policy-management,0.16.0
org.apereo.cas:cas-server-support-consent-jdbc,6.3.0-RC5
com.amazonaws:aws-java-sdk-ivs,1.11.970
com.github.weisj:darklaf-platform-base,2.5.1
com.avsystem.commons:commons-hocon_2.12,1.48.1
com.hexagonkt:hexagon_starters,1.3.5
com.lihaoyi:ammonite-runtime_2.13.2,2.3.8
org.tpolecat:natchez-lightstep-grpc_2.13,0.0.18
com.apollographql.apollo:apollo-normalized-cache,2.0.3
io.janstenpickle:trace4cats-kafka-client_2.13,0.7.0+176-7126003d
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.store.configuration.deployer,5.18.183
software.amazon.awssdk:organizations,2.16.2
co.fs2:fs2-core_sjs1_3.0.0-M2,2.5-39-f393f7a
com.amplifyframework:aws-predictions-tensorflow,1.6.10
com.liferay:com.liferay.journal.api,6.1.2
software.amazon.awssdk:kinesisvideo,2.15.73
io.quee.ktx.radix:ktx-radix-development-shared,v1.2.0-RELEASE
org.wildfly.security:wildfly-elytron-http-util,1.15.0.CR1
com.amazonaws:aws-java-sdk-autoscaling,1.11.886
