package_name,version
io.activej:activej-promise,2.2
org.teamapps:teamapps-ui-api,0.9.70
org.infinispan:infinispan-cdi-common,12.0.0.Dev04
com.amazonaws:aws-java-sdk-honeycode,1.11.907
org.wso2.identity.apps:identity-theme,1.1.9
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.authentication.framework.stub,5.19.50
org.kie.server:kie-server-controller-impl,7.43.1.Final
io.github.vigoo:zio-aws-cognitoidentity_2.13,3.16.17.1
com.daml:sandbox_2.12,1.12.0-snapshot.20210309.6463.0.f7abca91
com.yahoo.vespa:flags,7.300.57
com.tencentcloudapi:tencentcloud-sdk-java-af,3.1.209
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.keystore.mgt.category.feature,5.18.123
com.lightbend.cloudflow:cloudflow-akka_2.12,2.0.24-NIGHTLY20210321
org.wso2.carbon.identity.framework:identity-core-feature,5.18.211
org.wso2.carbon.mediation:org.wso2.carbon.mediation.ui.feature,4.7.83
io.janstenpickle:trace4cats-avro-kafka-exporter_2.13,0.6.0+85-a4aac290
io.github.xiaoyudeguang:easy-pio,4.2.17
com.amazonaws:aws-java-sdk-batch,1.11.884
com.huaweicloud:spring-cloud-starter-huawei-config,1.3.8
com.dimafeng:testcontainers-scala_2.13,0.38.9
io.github.vigoo:zio-aws-cloudfront_2.13,3.16.20.3
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl,6.8.91
io.github.vigoo:zio-aws-appflow_2.13,3.15.68.3
com.yahoo.vespa:model-evaluation,7.360.24
co.fs2:fs2-io_2.12,3.0-28-84effb0
com.liferay:com.liferay.sharepoint.rest.repository,2.0.23
com.jwebmp.plugins.bootstrap:jwebmp-bootstrap-pro-sidebar,1.0.18.0-jre15
org.neo4j.app:neo4j-server,4.1.3
com.tencentcloudapi:tencentcloud-sdk-java-cis,3.1.207
com.didiglobal.booster:booster-transform-webview,3.1.0-alpha4
io.janstenpickle:trace4cats-http4s-client_2.13,0.7.0+128-40c44240
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.entitlement.endpoint,5.18.183
org.neo4j.community:record-storage-engine-it,4.1.7
software.amazon.awsconstructs:eventsrulesqs,1.86.0
org.wso2.carbon.identity.framework:org.wso2.carbon.claim.mgt.ui,5.18.75
org.occurrent:command-composition,0.7.2
com.liferay:com.liferay.contacts.web,1.0.67
com.wavefront:wavefront,9.3
com.vaadin:vaadin-menu-bar-flow,14.5.0
com.slack.api:bolt,1.5.0-M2
org.noear.solon:beetl-web,1.2.10
com.googlecode.libphonenumber:demo,8.12.20
com.yahoo.vespa:orchestrator-restapi,7.355.22
org.sdase.commons:sda-commons-server-jackson,2.1.0
de.monochromata.poms:mono-parent,1.1.71
com.composum.nodes:composum-nodes-pckgmgr,2.2.2
io.quarkus:quarkus-spring-scheduled-deployment,1.11.5.Final
