number,coordinate,dependencies
10,org.infinispan:infinispan-core:9.4.10.Final,org.infinispan:infinispan-core:9.4.10.Final;org.infinispan:infinispan-commons:9.4.10.Final;org.jgroups:jgroups:4.0.18.Final;com.github.ben-manes.caffeine:caffeine:2.6.2;org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.1.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:2.0.6.Final;org.jboss.logging:jboss-logging:3.3.2.Final;io.reactivex.rxjava2:rxjava:2.2.4;org.reactivestreams:reactive-streams:1.0.2
11,com.liferay:com.liferay.portal.target.platform.indexer:1.0.0,com.liferay:com.liferay.portal.target.platform.indexer:1.0.0
12,org.infinispan:infinispan-core:5.2.0.Beta6,org.infinispan:infinispan-core:5.2.0.Beta6;org.jgroups:jgroups:3.2.4.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.0.Final;org.jboss.marshalling:jboss-marshalling-river:1.3.15.GA;org.jboss.marshalling:jboss-marshalling:1.3.15.GA;org.jboss.logging:jboss-logging:3.1.1.GA;org.jboss:staxmapper:1.1.0.Final;org.codehaus.woodstox:woodstox-core-asl:4.1.1;org.codehaus.woodstox:stax2-api:3.1.1;org.rhq.helpers:rhq-pluginAnnotations:3.0.4
13,io.hawt:hawtio-dozer:1.2-M5,io.hawt:hawtio-dozer:1.2-M5;org.slf4j:slf4j-api:1.6.6;io.hawt:hawtio-core:1.2-M5;net.sf.dozer:dozer:5.4.0;commons-beanutils:commons-beanutils:1.8.3;org.apache.commons:commons-lang3:3.1;org.slf4j:jcl-over-slf4j:1.6.6;org.slf4j:slf4j-log4j12:1.6.6;log4j:log4j:1.2.17;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
14,com.google.api.grpc:proto-google-cloud-bigquerystorage-v1beta1:0.55.0,com.google.api.grpc:proto-google-cloud-bigquerystorage-v1beta1:0.55.0;com.google.protobuf:protobuf-java:3.7.1;com.google.api:api-common:1.8.1;com.google.code.findbugs:jsr305:3.0.2;com.google.guava:guava:26.0-android;org.checkerframework:checker-compat-qual:2.5.2;com.google.errorprone:error_prone_annotations:2.1.3;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.14;com.google.api.grpc:proto-google-common-protos:1.15.0;javax.annotation:javax.annotation-api:1.3.2
15,it.tidalwave.northernwind.rca:it-tidalwave-northernwind-rca-ui-structure-explorer:1.1-ALPHA-12,it.tidalwave.northernwind.rca:it-tidalwave-northernwind-rca-ui-structure-explorer:1.1-ALPHA-12;it.tidalwave.northernwind.rca:it-tidalwave-northernwind-rca-ui-commons:1.1-ALPHA-12;it.tidalwave.northernwind:it-tidalwave-northernwind-core-filesystem-basic:1.1-ALPHA-35;org.netbeans.api:org-openide-filesystems:RELEASE80;org.netbeans.api:org-openide-util:RELEASE80;org.netbeans.api:org-openide-util-lookup:RELEASE80;org.slf4j:jul-to-slf4j:1.7.12;it.tidalwave.thesefoolishthings:it-tidalwave-role:1.0.5;it.tidalwave.thesefoolishthings:it-tidalwave-util:1.12.30;it.tidalwave.northernwind:it-tidalwave-northernwind-core:1.1-ALPHA-35;it.tidalwave.thesefoolishthings:it-tidalwave-messagebus:1.0.19;org.springframework:spring-beans:3.2.3.RELEASE;com.google.guava:guava:14.0.1;joda-time:joda-time:2.8.1;com.google.code.findbugs:jsr305:3.0.0;org.slf4j:jcl-over-slf4j:1.7.12;it.tidalwave.thesefoolishthings:it-tidalwave-messagebus-spring:1.0.23;org.springframework:spring-aspects:3.1.0.RELEASE;org.springframework:spring-context:3.1.0.RELEASE;org.springframework:spring-aop:3.1.0.RELEASE;aopalliance:aopalliance:1.0;org.springframework:spring-expression:3.1.0.RELEASE;org.springframework:spring-context-support:3.1.0.RELEASE;org.springframework:spring-test:3.1.0.RELEASE;org.springframework:spring-core:3.1.0.RELEASE;org.springframework:spring-asm:3.1.0.RELEASE;org.aspectj:aspectjrt:1.8.1;org.slf4j:slf4j-api:1.6.1;it.tidalwave.thesefoolishthings:it-tidalwave-util-java8supplement:1.14;javax.inject:javax.inject:1;com.google.code.findbugs:annotations:3.0.0
16,com.google.api.grpc:proto-google-cloud-bigquerystorage-v1beta1:0.59.0,com.google.api.grpc:proto-google-cloud-bigquerystorage-v1beta1:0.59.0;com.google.protobuf:protobuf-java:3.7.1;com.google.api:api-common:1.8.1;com.google.code.findbugs:jsr305:3.0.2;com.google.guava:guava:26.0-android;org.checkerframework:checker-compat-qual:2.5.2;com.google.errorprone:error_prone_annotations:2.1.3;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.14;com.google.api.grpc:proto-google-common-protos:1.15.0;javax.annotation:javax.annotation-api:1.3.2
17,io.hawt:hawtio-dozer:1.4.58,io.hawt:hawtio-dozer:1.4.58;org.slf4j:slf4j-api:1.7.12;io.hawt:hawtio-core:1.4.58;io.hawt:hawtio-util:1.4.58;io.hawt:hawtio-json-schema-mbean:1.4.58;javax.validation:validation-api:1.1.0.Final;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.6.3;com.fasterxml.jackson.core:jackson-databind:2.6.3;com.fasterxml.jackson.core:jackson-annotations:2.6.3;com.fasterxml.jackson.core:jackson-core:2.6.3;com.fasterxml.jackson.module:jackson-module-jsonSchema:2.6.3;net.sf.dozer:dozer:5.5.1;commons-beanutils:commons-beanutils:1.9.1;commons-collections:commons-collections:3.2.1;org.apache.commons:commons-lang3:3.2.1;org.slf4j:jcl-over-slf4j:1.7.5;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
18,org.infinispan:infinispan-core:5.2.0.ALPHA2,org.infinispan:infinispan-core:5.2.0.ALPHA2;org.jgroups:jgroups:3.1.0.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.0.Final;org.jboss.marshalling:jboss-marshalling-river:1.3.11.GA;org.jboss.marshalling:jboss-marshalling:1.3.11.GA;org.jboss.logging:jboss-logging:3.1.1.GA;org.jboss:staxmapper:1.1.0.Final;org.codehaus.woodstox:woodstox-core-asl:4.1.1;org.codehaus.woodstox:stax2-api:3.1.1;org.rhq.helpers:rhq-pluginAnnotations:3.0.4
19,com.google.api.grpc:proto-google-cloud-bigquerystorage-v1beta1:0.51.0,com.google.api.grpc:proto-google-cloud-bigquerystorage-v1beta1:0.51.0;com.google.protobuf:protobuf-java:3.7.0;com.google.api:api-common:1.7.0;com.google.code.findbugs:jsr305:3.0.2;com.google.guava:guava:19.0;com.google.api.grpc:proto-google-common-protos:1.15.0;javax.annotation:javax.annotation-api:1.3.2
20,io.hawt:hawtio-dozer:1.4.7,io.hawt:hawtio-dozer:1.4.7;org.slf4j:slf4j-api:1.6.6;io.hawt:hawtio-core:1.4.7;io.hawt:hawtio-util:1.4.7;io.hawt:hawtio-json-schema-mbean:1.4.7;javax.validation:validation-api:1.1.0.CR3;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.3.3;com.fasterxml.jackson.core:jackson-databind:2.3.3;com.fasterxml.jackson.core:jackson-annotations:2.3.3;com.fasterxml.jackson.core:jackson-core:2.3.3;net.sf.dozer:dozer:5.4.0;commons-beanutils:commons-beanutils:1.8.3;org.apache.commons:commons-lang3:3.1;org.slf4j:jcl-over-slf4j:1.6.6;org.slf4j:slf4j-log4j12:1.6.6;log4j:log4j:1.2.17;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
21,io.hawt:hawtio-dozer:1.5.0,io.hawt:hawtio-dozer:1.5.0;org.slf4j:slf4j-api:1.7.21;io.hawt:hawtio-core:1.5.0;io.hawt:hawtio-util:1.5.0;io.hawt:hawtio-json-schema-mbean:1.5.0;javax.validation:validation-api:1.1.0.Final;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.7.0;com.fasterxml.jackson.core:jackson-databind:2.7.0;com.fasterxml.jackson.core:jackson-annotations:2.7.0;com.fasterxml.jackson.core:jackson-core:2.7.0;com.fasterxml.jackson.module:jackson-module-jsonSchema:2.7.0;net.sf.dozer:dozer:5.5.1;commons-beanutils:commons-beanutils:1.9.1;commons-collections:commons-collections:3.2.1;org.apache.commons:commons-lang3:3.2.1;org.slf4j:jcl-over-slf4j:1.7.5;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
22,org.codehaus.plexus:plexus-component-annotations:1.2.1.4,org.codehaus.plexus:plexus-component-annotations:1.2.1.4;junit:junit:3.8.2
23,org.infinispan:infinispan-core:9.2.0.Alpha2,org.infinispan:infinispan-core:9.2.0.Alpha2;org.infinispan:infinispan-commons:9.2.0.Alpha2;org.jgroups:jgroups:4.0.7.Final;com.github.ben-manes.caffeine:caffeine:2.4.0;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:2.0.0.Beta3;org.jboss.logging:jboss-logging:3.3.0.Final;io.reactivex.rxjava2:rxjava:2.1.3;org.reactivestreams:reactive-streams:1.0.1
24,org.infinispan:infinispan-core:5.2.8.CR1,org.infinispan:infinispan-core:5.2.8.CR1;org.jgroups:jgroups:3.2.7.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.0.Final;org.jboss.marshalling:jboss-marshalling-river:1.3.15.GA;org.jboss.marshalling:jboss-marshalling:1.3.15.GA;org.jboss.logging:jboss-logging:3.1.1.GA;org.jboss:staxmapper:1.1.0.Final
