number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
11,com.linkedin.pegasus:r2-jetty:2.1.0,org.slf4j:slf4j-api:1.6.2,14,249,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
12,com.linkedin.pegasus:r2-jetty:2.1.0,com.linkedin.pegasus:r2:2.1.0,13,972,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
13,com.linkedin.pegasus:r2-jetty:2.1.0,commons-io:commons-io:1.4,13,693,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
14,com.linkedin.pegasus:r2-jetty:2.1.0,org.apache.mina:mina-core:1.1.7,13,2056,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
15,com.linkedin.pegasus:r2-jetty:2.1.0,org.apache.commons:commons-compress:1.2,767,798,163,431,420,611,611,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
16,com.linkedin.pegasus:r2-jetty:2.1.0,commons-lang:commons-lang:2.4,6,2182,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
17,com.linkedin.pegasus:r2-jetty:2.1.0,com.linkedin.pegasus:data:2.1.0,5,2178,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
18,com.linkedin.pegasus:r2-jetty:2.1.0,org.json:json:20070829,1390,195,101,471,389,1383,1383,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
19,com.linkedin.pegasus:r2-jetty:2.1.0,com.fasterxml.jackson.core:jackson-core:2.4.3,6,1545,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
20,com.linkedin.pegasus:r2-jetty:2.1.0,com.linkedin.pegasus:pegasus-common:2.1.0,6,121,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
