number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
10,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,commons-codec:commons-codec:1.9,5641,625,177,776,918,1167,1167,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
11,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.fasterxml.jackson.core:jackson-core:2.8.10,5848,2014,233,4508,1299,659,659,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
12,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,org.apache.httpcomponents:httpcore:4.4.4,6859,1652,336,2852,1561,2597,2597,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
13,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,software.amazon.ion:ion-java:1.0.2,9709,3807,386,8537,2867,1616,1616,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
14,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,joda-time:joda-time:2.8.1,10502,4425,328,23104,2276,5392,5392,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;com.amazonaws:jmespath-java:1.11.202
15,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.amazonaws:aws-java-sdk-kms:1.11.202,11678,2170,127,2708,3352,7689,7689,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
16,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.amazonaws:aws-java-sdk-core:1.11.202,13255,4532,1061,5915,5190,11798,11798,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
17,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,log4j:log4j:1.2.17,14373,2358,945,4488,4277,3131,3131,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
18,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,org.apache.httpcomponents:httpclient:4.5.2,15943,3006,1056,4709,5364,12469,12469,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
19,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.fasterxml.jackson.core:jackson-databind:2.8.10,20424,7170,975,26722,7043,12787,12787,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
