number,folder,opalOutput,opalCG,mergeOutput,CGPool,mergeCG
77,org.jboss.arquillian.container:arquillian-container-test-impl-base:1.7.0.Alpha7,1,1,1,1,1
78,cn.xnatural.app:app:1.0.2,1,0,1,1,0
79,org.n52.janmayen:janmayen:1.0.0,1,1,1,1,1
80,dev.rafex.ether.jwt:ether-jwt:2.0-v20201126,1,1,1,1,1
81,org.zkoss.zk:zul:9.5.0.2,1,1,1,1,1
82,com.hmsonline:hms-cassandra-indexing:0.16.0,1,0,1,1,0
83,com.genesys:provisioning:9.0.60,1,0,1,1,0
84,com.testerum:step-rdbms-util:4.0.1,1,0,1,1,0
85,com.softwaremill.sttp.client:okhttp-backend-monix_2.12:2.2.7,1,0,1,1,0
86,com.powsybl:powsybl-triple-store-impl-jena:4.0.0-RC1,1,0,1,1,1
87,org.webjars.npm:shallow-clone:3.0.1,1,0,1,1,0
88,net.sf.opk:embedded-glassfish-web-plugin:1.1,1,0,1,1,0
89,org.apache.camel.kafkaconnector:camel-bean-kafka-connector:0.5.0,1,1,1,1,1
90,com.notronix:NewRelicEvents:1.1.001,1,0,1,1,0
91,cn.hll520.linling:linling-core:1.2.0,1,0,1,1,0
92,io.trino.tempto:tempto-examples:183,0,0,0,0,0
93,org.noear:luffy.queue.redis:1.0,1,1,1,1,1
94,org.scalaz:scalaz-deriving-shapeless_2.13:3.0.0-M2,0,0,0,0,0
95,org.apache.aries.cdi:org.apache.aries.cdi.extension.jaxrs:1.1.2,1,1,1,1,1
96,com.github.tonivade:purecheck:0.1,1,0,1,1,0
97,org.apache.cxf.fediz.systests.federation:fediz-systests-federation-unknown-subject:1.5.1,1,0,1,1,0
98,com.ing.baker:bakery-baker-client_2.12:3.1.0,0,0,0,0,0
99,org.drools:drools-workbench-models-guided-template:7.46.0.Final,1,1,1,1,1
100,com.github.skjolber.logback-logstash-syntax-highlighting-decorators:logback-logstash-syntax-highlighting-decorators:1.0.4,1,1,1,1,1
101,ch.cern.hbase:hbase-hadoop-compat:2.1.3_1,1,0,1,1,1
102,io.trino:trino-parquet:351,1,0,1,1,0
103,com.tencent.bk.devops.ci.environment:api-environment:1.3.0-rc.7-RELEASE,1,0,1,1,1
104,org.timmc:johnny:0.1.1,1,0,1,1,0
105,org.apache.camel:camel-netty4-starter:2.25.3,1,0,1,1,1
106,com.intel.analytics.bigdl:bigdl-SPARK_2.3:0.12.1,0,0,0,0,0
107,dev.zio:zio-test_2.11:1.0.5,1,1,1,1,1
108,com.daml:http-json-cli-opts_2.12:1.6.0-snapshot.20201007.5314.0.b4a47d0b,1,0,1,1,1
109,org.apache.plc4x:plc4j-apache-calcite:0.8.0,1,0,1,1,1
110,org.kie.kogito:tracing-decision-quarkus-addon:1.2.0.Final,1,0,1,1,1
111,com.twitter:inject-dtab_2.11:21.2.0,1,0,1,1,1
112,org.apache.camel:camel-kestrel:2.25.3,1,1,1,1,1
113,io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-apache-dubbo-2.7:1.0.0-alpha,1,1,1,1,1
114,com.github.stachu540:HiRezAPI-paladins:3.1.0,1,0,1,1,1
115,org.eclipse.dirigible:dirigible-ext-mongodb:5.8.3,1,0,1,1,1
116,org.eclipse.rdf4j:rdf4j-rio-binary:3.4.3,1,0,1,1,1
117,org.noear:solon.extend.undertow.jsp:1.3.0,1,1,1,1,1
118,io.github.bonigarcia:selenium-jupiter:3.3.5,1,0,1,1,1
119,org.ogc-schemas:samplingSpatial-v_2_0:3.0.0,1,1,1,1,1
120,org.abego.yaml:abego-yaml-sourcemap-core:1.0.0,1,1,1,1,1
121,com.tencent.bk.devops.ci.store:api-store:1.3.0-rc.7-RELEASE,0,0,1,1,1
122,com.sshtools:icon-generator-swt:1.3.1,1,1,1,1,1
123,com.nepxion:discovery-plugin-starter-consul:3.17.0,1,0,1,1,1
124,org.elasticsearch.test:hdfs-fixture:7.9.3,1,0,1,1,1
125,org.sonatype.nexus:nexus-plugin-testsupport:2.14.20-02,1,1,1,1,1
126,org.mobicents.diameter:jdiameter-impl:1.7.0.115,1,1,1,1,1
127,biz.aQute:biz.aQute.osgi.agent.provider:1.3.0,1,0,1,1,0
128,org.trellisldp:trellis-oauth:0.16.2,1,1,1,1,1
129,org.scalacheck:scalacheck_sjs0.6_2.11:1.15.1,1,1,1,1,1
130,org.apache.camel:camel-spring-ldap:3.4.5,1,1,1,1,1
131,net.exoego:aws-sdk-scalajs-facade-applicationdiscovery_sjs1_2.12:0.32.0-v2.798.0,1,1,1,1,1
132,uk.ac.cam.ch.wwmm.oscar:oscar4-recogniser-core:5.0.0,1,0,1,1,1
133,org.scalameta:munit-scalacheck_sjs1_2.12:0.7.19,1,0,1,1,1
134,io.quarkus:quarkus-jsch-deployment:1.11.6.Final,1,0,1,1,1
135,com.aliyun:imm20170906:1.0.0,1,0,1,1,1
136,fr.wseduc:vertx-swift-client:0.1.1,1,1,1,1,1
137,com.soywiz.korlibs.korge2:korge-spine-js:2.0.9,1,1,1,1,1
138,io.avaje:avaje-http-jex-generator:1.2.1,1,0,1,1,1
139,org.springframework.cloud:spring-cloud-starter-circuitbreaker-reactor-resilience4j:2.0.0,1,0,1,1,1
140,org.jboss.metrics:automated-metrics-javase:1.0.4.Final,1,0,1,1,1
141,com.volcengine:volc-sdk-java:1.0.0,1,0,1,1,1
142,com.github.xuwei-k:zeroapply_3.0.0-RC1:0.4.1,1,0,1,1,0
143,com.shedhack.spring:spring-actuator:1.0.0,1,0,1,1,1
144,it.bancaditalia.oss.vtl:vtl-engine:1.0.6,1,0,1,1,0
145,com.io7m.coffeepick:com.io7m.coffeepick.documentation:0.2.1,1,1,1,1,1
146,com.indoorvivants:subatomic-builders_2.13:0.0.5,1,0,1,1,0
147,io.atlasmap:atlas-dfdl-model:2.1.2,1,0,1,1,0
148,com.gu:ophan-event-model_2.11:0.0.2,1,0,1,1,1
149,io.journalkeeper:journalkeeper-metric:0.1.10,1,0,1,1,0
150,com.pragmatickm:pragmatickm-password-taglib:1.7.1,1,1,1,1,1
151,com.semanticcms:semanticcms-news-bom-book:1.6.0,1,0,1,1,0
152,org.apache.metamodel:MetaModel-couchdb:5.3.3,1,1,1,1,1
153,org.bitbucket.askllc.fermenter.stout:stout-cookbook-referencing-domain:2.1.2,1,0,1,1,0
154,io.github.conflux-chain:conflux.web3j:1.0.4,1,0,1,1,0
155,com.soulgalore:xml-velocity:1.5,1,1,1,1,1
156,org.mockito:mockito-scala-cats_2.12:1.16.11,1,0,1,1,0
157,kg.net.bazi.gsb4j:gsb4j-core:1.0.6,1,0,1,1,0
158,io.github.vigoo:zio-aws-mwaa_2.12:3.15.45.2,1,0,1,1,1
159,io.quee.ktx.radix:ktx-radix-development-operation:v1.2.2-RELEASE,1,0,1,1,1
160,com.axway.ats.framework.agent.webapp:ats-agent-webapp-server:4.0.7,0,0,1,1,1
