number,coordinate,occurrence,isolatedRevisionTime,internalNodes,externalNodes,internalEdges,externalEdges
0,io.kotlintest:kotlintest:2.0.7,1,523,2549,91,4057,1000
1,org.javassist:javassist:3.21.0-GA,1,743,3892,191,10801,1111
2,io.arrow-kt:arrow-test:0.8.2,1,4576,2691,125,20053,2079
3,io.arrow-kt:arrow-optics:0.8.2,1,729,5623,95,30147,2722
4,io.arrow-kt:arrow-mtl:0.8.2,1,439,3981,299,3357,2613
5,org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0,1,11,0,0,0,0
6,io.arrow-kt:arrow-typeclasses:0.8.2,1,545,2120,55,5334,1372
7,org.jetbrains.kotlin:kotlin-stdlib:1.3.11,1,1918,6572,271,77880,3032
8,org.jetbrains:annotations:13.0,1,13,23,1,0,1
9,org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0,1,932,2581,168,6862,1941
10,io.arrow-kt:arrow-effects-instances:0.8.2,1,292,2103,634,2169,2181
11,io.arrow-kt:arrow-data:0.8.2,1,931,1636,67,27249,1277
12,org.jetbrains.kotlin:kotlin-reflect:1.1.51,1,1692,9999,407,47245,6211
13,net.bytebuddy:byte-buddy:1.6.5,1,2438,12313,325,103187,5124
14,io.arrow-kt:arrow-core:0.8.2,1,364,1372,33,3929,556
15,junit:junit:4.12,1,270,1627,158,2497,648
16,io.arrow-kt:arrow-effects:0.8.2,1,519,2408,207,12108,1901
17,org.reflections:reflections:0.9.11,1,100,605,103,949,347
18,org.mockito:mockito-core:2.7.11,1,242,2319,207,4399,1009
19,io.kindedj:kindedj:1.1.0,1,25,9,0,0,0
20,org.objenesis:objenesis:2.5,1,41,132,32,168,90
21,io.arrow-kt:arrow-annotations:0.8.2,1,29,6,3,1,3
22,io.arrow-kt:arrow-free:0.8.2,1,94,528,35,959,312
23,org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11,1,11,4,2,0,2
24,org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11,1,10,0,0,0,0
25,io.arrow-kt:arrow-recursion:0.8.2,1,18,73,6,41,38
26,org.hamcrest:hamcrest-core:1.3,1,138,275,20,495,62
27,com.google.guava:guava:20.0,1,2163,13956,542,106090,3223
28,io.arrow-kt:arrow-instances-core:0.8.2,1,978,7927,464,6675,7410
29,net.bytebuddy:byte-buddy-agent:1.6.5,1,30,106,35,67,79
30,io.arrow-kt:arrow-instances-data:0.8.2,1,1575,10443,475,10966,11660
