number,coordinate,dependencies
0,com.kenshoo:persistence-layer:0.1.61-jooq-3.10.4,com.kenshoo:persistence-layer:0.1.61-jooq-3.10.4;org.slf4j:slf4j-api:1.7.21;net.sf.trove4j:trove4j:3.0.3;org.jooq:jooq:3.10.4;org.jooq:jool:0.9.11;com.google.guava:guava:16.0.1;org.apache.commons:commons-lang3:3.4;mysql:mysql-connector-java:5.1.35;com.github.rholder:guava-retrying:2.0.0;com.google.code.findbugs:jsr305:2.0.2
1,it.unibo.tuprolog:dsl-unify-js:0.17.0,it.unibo.tuprolog:dsl-unify-js:0.17.0;org.jetbrains.kotlin:kotlin-stdlib-common:1.4.21;it.unibo.tuprolog:dsl-core-js:0.17.0;it.unibo.tuprolog:core-js:0.17.0;io.github.gciatto:kt-math-js:0.3.3;it.unibo.tuprolog:utils-js:0.17.0;it.unibo.tuprolog:unify-js:0.17.0;org.jetbrains.kotlin:kotlin-stdlib-js:1.4.21
2,com.marcosbarbero.cloud:spring-cloud-zuul-ratelimit-core:2.4.2.RELEASE,com.marcosbarbero.cloud:spring-cloud-zuul-ratelimit-core:2.4.2.RELEASE;commons-net:commons-net:3.7.2
3,org.datanucleus:datanucleus-mongodb:5.2.1,org.datanucleus:datanucleus-mongodb:5.2.1;org.mongodb:mongodb-driver:3.9.1;org.mongodb:bson:3.9.1;org.mongodb:mongodb-driver-core:3.9.1
4,com.github.valskalla:odin-zio_2.13:0.9.1,com.github.valskalla:odin-zio_2.13:0.9.1;org.scala-lang:scala-library:2.13.2;com.github.valskalla:odin-core_2.13:0.9.1;org.typelevel:cats-mtl_2.13:1.0.0;com.lihaoyi:sourcecode_2.13:0.2.1;io.monix:monix-catnap_2.13:3.2.2;io.monix:monix-execution_2.13:3.2.2;io.monix:implicitbox_2.13:0.2.0;org.jctools:jctools-core:2.1.2;org.reactivestreams:reactive-streams:1.0.3;com.outr:perfolation_2.13:1.1.7;com.outr:perfolation-macros_2.13:1.1.7;org.scala-lang:scala-reflect:2.13.1;org.typelevel:cats-effect_2.13:2.2.0;org.typelevel:cats-core_2.13:2.2.0;org.typelevel:cats-kernel_2.13:2.2.0;dev.zio:zio_2.13:1.0.2;dev.zio:zio-stacktracer_2.13:1.0.2;dev.zio:izumi-reflect_2.13:1.0.0-M8;dev.zio:izumi-reflect-thirdparty-boopickle-shaded_2.13:1.0.0-M8;dev.zio:zio-interop-cats_2.13:2.2.0.1
5,net.databinder:dispatch-tagsoup_2.9.0-1:0.8.10,net.databinder:dispatch-tagsoup_2.9.0-1:0.8.10;net.databinder:dispatch-core_2.9.0-1:0.8.10;net.databinder:dispatch-http_2.9.0-1:0.8.10;net.databinder:dispatch-futures_2.9.0-1:0.8.10;org.scala-lang:scala-library:2.9.0-1;org.apache.httpcomponents:httpclient:4.1.3;org.apache.httpcomponents:httpcore:4.1.4;commons-logging:commons-logging:1.1.1;commons-codec:commons-codec:1.4;org.ccil.cowan.tagsoup:tagsoup:1.2.1
6,org.finos.legend.pure:legend-pure-m3-dsl-path:1.6.0,org.finos.legend.pure:legend-pure-m3-dsl-path:1.6.0;org.finos.legend.pure:legend-pure-m4:1.6.0;commons-codec:commons-codec:1.15;org.finos.legend.pure:legend-pure-m3-core:1.6.0;org.finos.legend.pure:legend-pure-m3-bootstrap-generator:1.6.0;com.googlecode.json-simple:json-simple:1.1.1;junit:junit:4.10;org.hamcrest:hamcrest-core:1.1;commons-io:commons-io:2.4;io.opentracing:opentracing-util:0.32.0;io.opentracing:opentracing-noop:0.32.0;io.opentracing:opentracing-api:0.32.0;io.prometheus:simpleclient:0.8.1;org.eclipse.collections:eclipse-collections-api:10.2.0;org.eclipse.collections:eclipse-collections:10.2.0;org.antlr:antlr4:4.5.3;org.apache.commons:commons-lang3:3.5
7,io.github.jimmyd-be:theGamesDbClient:1.2,io.github.jimmyd-be:theGamesDbClient:1.2;com.konghq:unirest-java:3.11.04;org.apache.httpcomponents:httpclient:4.5.13;org.apache.httpcomponents:httpcore:4.4.13;commons-logging:commons-logging:1.2;commons-codec:commons-codec:1.11;org.apache.httpcomponents:httpmime:4.5.13;org.apache.httpcomponents:httpcore-nio:4.4.13;org.apache.httpcomponents:httpasyncclient:4.1.4;com.google.code.gson:gson:2.8.6
8,org.scalameta:semanticdb-scalac_2.13.2:4.4.2,org.scalameta:semanticdb-scalac_2.13.2:4.4.2;org.scala-lang:scala-library:2.13.2
9,com.pragmatickm:pragmatickm-contact-taglib:1.5.1,com.pragmatickm:pragmatickm-contact-taglib:1.5.1;com.aoindustries:ao-encoding:4.0.0;com.aoindustries:ao-collections:1.2.0;com.aoindustries:aocode-public:4.9.0;com.aoindustries:ao-encoding-servlet:3.0.0;com.aoindustries:ao-fluent-html:0.4.0;com.aoindustries:ao-fluent-html-any:0.4.0;com.aoindustries:ao-lang:4.17.0;com.aoindustries:ao-net-types:1.3.0;com.aoindustries:ao-tlds:1.2.0;com.aoindustries:ao-taglib:6.4.0;com.aoindustries:ao-encoding-taglib:1.0.2;com.aoindustries:ao-fluent-html-servlet:0.4.0;com.aoindustries:ao-io-buffer:3.3.0;com.aoindustries:ao-servlet-filter:2.3.0;com.aoindustries:ao-servlet-last-modified:1.2.0;com.aoindustries:ao-servlet-util:3.5.1;com.aoindustries:ao-web-resources-registry:0.2.0;com.aoindustries:ao-web-resources-servlet:0.1.0;org.apache.commons:commons-lang3:3.12.0;com.pragmatickm:pragmatickm-contact-model:1.5.0;com.pragmatickm:pragmatickm-contact-servlet:1.5.1;com.aoindustries:ao-style:1.0.0;com.semanticcms:semanticcms-core-model:1.13.0;joda-time:joda-time:2.10.8;com.semanticcms:semanticcms-core-servlet:1.17.1;com.aoindustries:ao-concurrent:3.1.0;com.aoindustries:ao-servlet-subrequest:1.1.0;com.aoindustries:ao-tempfiles:2.0.0;com.aoindustries:ao-tempfiles-servlet:1.1.0;com.semanticcms:semanticcms-core-taglib:1.14.2;javax.servlet:jstl:1.2;org.glassfish.web:jstl-impl:1.2
