number,coordinate,dependencies
0,io.github.iamazy.elasticsearch.dsl:elasticsearch-sql-core:7.9.3,io.github.iamazy.elasticsearch.dsl:elasticsearch-sql-core:7.9.3;junit:junit:4.13.1;org.hamcrest:hamcrest-core:1.3;org.locationtech.spatial4j:spatial4j:0.7;org.locationtech.jts:jts-core:1.16.1;org.elasticsearch:elasticsearch:7.9.3;org.elasticsearch:elasticsearch-core:7.9.3;org.elasticsearch:elasticsearch-secure-sm:7.9.3;org.elasticsearch:elasticsearch-x-content:7.9.3;org.yaml:snakeyaml:1.26;com.fasterxml.jackson.dataformat:jackson-dataformat-smile:2.10.4;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.10.4;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.10.4;org.elasticsearch:elasticsearch-geo:7.9.3;org.apache.lucene:lucene-core:8.6.2;org.apache.lucene:lucene-analyzers-common:8.6.2;org.apache.lucene:lucene-backward-codecs:8.6.2;org.apache.lucene:lucene-grouping:8.6.2;org.apache.lucene:lucene-highlighter:8.6.2;org.apache.lucene:lucene-join:8.6.2;org.apache.lucene:lucene-memory:8.6.2;org.apache.lucene:lucene-misc:8.6.2;org.apache.lucene:lucene-queries:8.6.2;org.apache.lucene:lucene-queryparser:8.6.2;org.apache.lucene:lucene-sandbox:8.6.2;org.apache.lucene:lucene-spatial-extras:8.6.2;org.apache.lucene:lucene-spatial3d:8.6.2;org.apache.lucene:lucene-suggest:8.6.2;org.elasticsearch:elasticsearch-cli:7.9.3;net.sf.jopt-simple:jopt-simple:5.0.2;com.carrotsearch:hppc:0.8.1;joda-time:joda-time:2.10.4;com.tdunning:t-digest:3.2;org.hdrhistogram:HdrHistogram:2.1.9;org.apache.logging.log4j:log4j-api:2.11.1;org.elasticsearch:jna:5.5.0;org.elasticsearch.client:elasticsearch-rest-high-level-client:7.9.3;org.elasticsearch.plugin:mapper-extras-client:7.9.3;org.elasticsearch.plugin:parent-join-client:7.9.3;org.elasticsearch.plugin:aggs-matrix-stats-client:7.9.3;org.elasticsearch.plugin:rank-eval-client:7.9.3;org.elasticsearch.plugin:lang-mustache-client:7.9.3;com.github.spullara.mustache.java:compiler:0.9.6;org.elasticsearch.client:elasticsearch-rest-client:7.9.3;org.apache.httpcomponents:httpclient:4.5.10;org.apache.httpcomponents:httpcore:4.4.12;org.apache.httpcomponents:httpasyncclient:4.1.4;org.apache.httpcomponents:httpcore-nio:4.4.12;commons-codec:commons-codec:1.11;commons-logging:commons-logging:1.1.3;org.elasticsearch.client:elasticsearch-rest-client-sniffer:7.9.3;com.fasterxml.jackson.core:jackson-databind:2.10.1;com.fasterxml.jackson.core:jackson-annotations:2.10.1;com.fasterxml.jackson.core:jackson-core:2.10.1;com.google.guava:guava:28.1-jre;com.google.guava:failureaccess:1.0.1;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;com.google.code.findbugs:jsr305:3.0.2;org.checkerframework:checker-qual:2.8.1;com.google.errorprone:error_prone_annotations:2.3.2;com.google.j2objc:j2objc-annotations:1.3;org.codehaus.mojo:animal-sniffer-annotations:1.18;org.apache.commons:commons-collections4:4.3;org.apache.commons:commons-lang3:3.8.1;org.antlr:antlr4-runtime:4.7.2
1,org.eclipse.xtext:org.eclipse.xtext.generator:2.9.0.beta6,org.eclipse.xtext:org.eclipse.xtext.generator:2.9.0.beta6;org.eclipse.xtext:org.eclipse.xtext.ecore:2.9.0.beta6;org.eclipse.xtext:org.eclipse.xtext:2.9.0.beta6;org.eclipse.xtext:org.eclipse.xtext.util:2.9.0.beta6;com.google.guava:guava:14.0.1;com.google.inject:guice:3.0;javax.inject:javax.inject:1;aopalliance:aopalliance:1.0;org.eclipse.emf:org.eclipse.emf.common:2.22.0;org.antlr:antlr-runtime:3.2;org.eclipse.xtend:org.eclipse.xtend.lib:2.9.0.beta6;org.eclipse.xtext:org.eclipse.xtext.xbase.lib:2.9.0.beta6;org.eclipse.xtend:org.eclipse.xtend.lib.macro:2.9.0.beta6;org.eclipse.emf:org.eclipse.emf.ecore.xmi:2.16.0;org.eclipse.emf:org.eclipse.emf.ecore:2.24.0;org.eclipse.emf:org.eclipse.emf.codegen.ecore:2.26.0;org.eclipse.platform:org.eclipse.core.runtime:3.22.0;org.eclipse.platform:org.eclipse.osgi:3.16.300;org.eclipse.platform:org.eclipse.equinox.common:3.15.0;org.eclipse.platform:org.eclipse.core.jobs:3.11.0;org.eclipse.platform:org.eclipse.equinox.registry:3.10.200;org.eclipse.platform:org.eclipse.equinox.preferences:3.8.200;org.eclipse.platform:org.eclipse.core.contenttype:3.7.1000;org.eclipse.platform:org.eclipse.equinox.app:1.5.100;org.eclipse.platform:org.eclipse.core.resources:3.15.0;org.eclipse.platform:org.eclipse.core.expressions:3.7.100;org.eclipse.platform:org.eclipse.core.filesystem:1.9.0;org.eclipse.jdt:org.eclipse.jdt.core:3.26.0;org.eclipse.jdt:org.eclipse.jdt.launching:3.19.200;org.eclipse.platform:org.eclipse.debug.core:3.18.100;org.eclipse.jdt:org.eclipse.jdt.debug:3.17.200;org.eclipse.platform:org.eclipse.core.variables:3.5.0;org.eclipse.emf:org.eclipse.emf.codegen:2.22.0;org.eclipse.platform:org.eclipse.text:3.12.0;org.eclipse.platform:org.eclipse.core.commands:3.10.0;org.eclipse.xtext:xtext-antlr-generator:2.1.1;log4j:log4j:1.2.16;org.xtext:antlr-generator:3.2.1;org.eclipse.xtext:org.eclipse.xtext.xtext.generator:2.9.0.beta6;com.ibm.icu:icu4j:52.1;org.eclipse.emf:org.eclipse.emf.mwe2.lib:2.12.2-SNAPSHOT;org.eclipse.emf:org.eclipse.emf.mwe2.runtime:2.12.2-SNAPSHOT;org.eclipse.emf:org.eclipse.emf.mwe.utils:1.6.2-SNAPSHOT;org.eclipse.equinox:org.eclipse.equinox.common:3.6.0.v20100503;org.eclipse.osgi:org.eclipse.osgi:3.6.0.v20100517;commons-logging:commons-logging:1.1.3;org.eclipse.emf:org.eclipse.emf.mwe.core:1.6.2-SNAPSHOT;commons-cli:commons-cli:1.2
2,org.glassfish.tyrus:tyrus-container-glassfish-ejb:2.0.0,org.glassfish.tyrus:tyrus-container-glassfish-ejb:2.0.0;org.glassfish.tyrus:tyrus-core:2.0.0;org.glassfish.tyrus:tyrus-spi:2.0.0;jakarta.websocket:jakarta.websocket-api:2.0.0;jakarta.xml.bind:jakarta.xml.bind-api:3.0.0;com.sun.activation:jakarta.activation:2.0.0;jakarta.ejb:jakarta.ejb-api:4.0.0;jakarta.transaction:jakarta.transaction-api:2.0.0
3,org.iot-dsa:logging:0.24.2,org.iot-dsa:logging:0.24.2;org.slf4j:slf4j-api:1.7.25
4,com.github.myabcc17:chatbot-response-v2-builder:0.0.1,com.github.myabcc17:chatbot-response-v2-builder:0.0.1;org.projectlombok:lombok:1.18.18;commons-validator:commons-validator:1.6;commons-beanutils:commons-beanutils:1.9.2;commons-digester:commons-digester:1.8.1;commons-logging:commons-logging:1.2;commons-collections:commons-collections:3.2.2;org.apache.commons:commons-collections4:4.4;org.apache.commons:commons-lang3:3.12.0;com.google.code.gson:gson:2.8.6
5,org.opendaylight.bgpcep:pcep-topology-stats:0.14.3,org.opendaylight.bgpcep:pcep-topology-stats:0.14.3;org.opendaylight.bgpcep:pcep-api:0.14.3;org.opendaylight.bgpcep:concepts:0.14.3;org.opendaylight.mdsal.model:odl-uint24:6.0.8;org.opendaylight.bgpcep:rsvp-api:0.14.3;io.netty:netty-transport:4.1.56.Final;io.netty:netty-resolver:4.1.56.Final;io.netty:netty-common:4.1.56.Final;org.opendaylight.mdsal.binding.model.ietf:rfc6991-ietf-inet-types:6.0.8;org.opendaylight.mdsal.model:ietf-type-util:6.0.8;org.opendaylight.mdsal:mdsal-binding-spec-util:6.0.8;org.opendaylight.mdsal.model:ietf-topology:2013.10.21.18.8;org.opendaylight.mdsal.binding.model.ietf:rfc6991:6.0.8;org.opendaylight.mdsal.binding.model.ietf:rfc6991-ietf-yang-types:6.0.8;org.opendaylight.bgpcep:pcep-topology-api:0.14.3;org.opendaylight.bgpcep:programming-api:0.14.3;org.opendaylight.bgpcep:topology-api:0.14.3;org.opendaylight.bgpcep:programming-topology-api:0.14.3;org.opendaylight.mdsal.model:yang-ext:2013.09.07.18.8;org.opendaylight.bgpcep:pcep-ietf-stateful:0.14.3;org.opendaylight.bgpcep:util:0.14.3;org.opendaylight.bgpcep:pcep-spi:0.14.3;org.opendaylight.bgpcep:pcep-tunnel-api:0.14.3;org.opendaylight.bgpcep:programming-tunnel-api:0.14.3;org.opendaylight.bgpcep:topology-tunnel-api:0.14.3;org.opendaylight.bgpcep:pcep-base-parser:0.14.3;org.opendaylight.yangtools:yang-common-netty:5.0.8;io.netty:netty-buffer:4.1.56.Final;org.opendaylight.bgpcep:pcep-topology-spi:0.14.3;org.opendaylight.mdsal:yang-binding:6.0.8;org.opendaylight.bgpcep:programming-spi:0.14.3;org.opendaylight.mdsal:mdsal-singleton-common-api:6.0.8;org.opendaylight.mdsal:mdsal-eos-common-api:6.0.8;org.opendaylight.mdsal:mdsal-binding-api:6.0.8;org.opendaylight.yangtools:yang-data-api:5.0.8;org.opendaylight.yangtools:yang-model-api:5.0.8;org.opendaylight.yangtools:yang-xpath-api:5.0.8;org.opendaylight.mdsal:mdsal-common-api:6.0.8;org.opendaylight.yangtools:util:5.0.8;tech.pantheon.triemap:triemap:1.2.0;org.opendaylight.yangtools:yang-common:5.0.8;org.opendaylight.yangtools:concepts:5.0.8;com.google.guava:guava:28.2-jre;com.google.guava:failureaccess:1.0.1;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;org.checkerframework:checker-qual:2.10.0;com.google.errorprone:error_prone_annotations:2.3.4;com.google.j2objc:j2objc-annotations:1.3
6,com.helger.bdve:ph-bdve-api:6.0.4,com.helger.bdve:ph-bdve-api:6.0.4;com.helger:ph-commons:9.5.3;com.google.code.findbugs:jsr305:3.0.2;org.slf4j:slf4j-api:1.7.30
7,com.netflix.denominator:denominator-clouddns:1.1.4,com.netflix.denominator:denominator-clouddns:1.1.4;org.jclouds.driver:jclouds-slf4j:1.6.0;org.jclouds:jclouds-core:1.6.0;javax.ws.rs:jsr311-api:1.1.1;com.google.inject.extensions:guice-assistedinject:3.0;com.google.inject:guice:3.0;aopalliance:aopalliance:1.0;org.99soft.guice:rocoto:6.2;javax.inject:javax.inject:1;javax.annotation:jsr250-api:1.0;com.google.code.gson:gson:2.2.2;org.slf4j:slf4j-api:1.7.5;com.google.guava:guava:14.0.1;com.netflix.denominator:denominator-core:1.1.4;com.netflix.denominator:denominator-model:1.1.4;com.squareup.dagger:dagger:1.0.1;org.jclouds.api:rackspace-clouddns:1.6.0;org.jclouds.api:openstack-keystone:1.6.0;org.jclouds.api:rackspace-cloudidentity:1.6.0
8,com.google.cloud:google-cloud-firestore:0.30.0-beta,com.google.cloud:google-cloud-firestore:0.30.0-beta;io.netty:netty-tcnative-boringssl-static:2.0.6.Final;com.google.cloud:google-cloud-core:1.12.0;com.google.guava:guava:20.0;joda-time:joda-time:2.9.2;org.json:json:20160810;com.google.http-client:google-http-client:1.23.0;org.apache.httpcomponents:httpclient:4.0.1;org.apache.httpcomponents:httpcore:4.0.1;commons-logging:commons-logging:1.1.1;commons-codec:commons-codec:1.3;com.google.code.findbugs:jsr305:3.0.0;com.google.api:gax:1.15.0;com.google.protobuf:protobuf-java-util:3.4.0;com.google.code.gson:gson:2.7;com.google.api.grpc:proto-google-common-protos:1.0.1;com.google.api.grpc:proto-google-iam-v1:0.1.25;com.google.cloud:google-cloud-core-grpc:1.12.0;com.google.auth:google-auth-library-credentials:0.9.0;com.google.protobuf:protobuf-java:3.4.0;io.grpc:grpc-protobuf:1.7.0;io.grpc:grpc-protobuf-lite:1.7.0;io.grpc:grpc-context:1.7.0;com.google.api:gax-grpc:1.15.0;com.google.auto.value:auto-value:1.2;org.threeten:threetenbp:1.3.3;com.google.auth:google-auth-library-oauth2-http:0.9.0;com.google.http-client:google-http-client-jackson2:1.19.0;com.fasterxml.jackson.core:jackson-core:2.1.3;com.google.api:api-common:1.2.0;com.google.api.grpc:proto-google-cloud-firestore-v1beta1:0.1.25;io.grpc:grpc-netty:1.7.0;io.grpc:grpc-core:1.7.0;com.google.errorprone:error_prone_annotations:2.0.19;com.google.instrumentation:instrumentation-api:0.4.3;io.opencensus:opencensus-api:0.6.0;io.netty:netty-codec-http2:4.1.16.Final;io.netty:netty-codec-http:4.1.16.Final;io.netty:netty-codec:4.1.16.Final;io.netty:netty-handler:4.1.16.Final;io.netty:netty-buffer:4.1.16.Final;io.netty:netty-common:4.1.16.Final;io.netty:netty-handler-proxy:4.1.16.Final;io.netty:netty-transport:4.1.16.Final;io.netty:netty-resolver:4.1.16.Final;io.netty:netty-codec-socks:4.1.16.Final;io.grpc:grpc-stub:1.7.0;io.grpc:grpc-auth:1.7.0
9,net.codesup.util:jaxb-plugin-lib:1.7.0,net.codesup.util:jaxb-plugin-lib:1.7.0;org.glassfish.jaxb:jaxb-xjc-jdk9:2.3.0;org.glassfish.jaxb:jaxb-xjc:2.3.0;org.glassfish.jaxb:jaxb-core:2.3.0;javax.xml.bind:jaxb-api:2.3.0;com.sun.xml.dtd-parser:dtd-parser:1.2;org.glassfish.jaxb:xsom:2.3.0;org.glassfish.jaxb:codemodel:2.3.0;com.sun.xml.bind.external:rngom:2.3.0;com.sun.istack:istack-commons-tools:3.0.5;org.apache.ant:ant:1.7.0;org.apache.ant:ant-launcher:1.7.0;com.sun.istack:istack-commons-runtime:3.0.5;relaxngDatatype:relaxngDatatype:20020414;org.glassfish.jaxb:jaxb-runtime:2.3.2;jakarta.xml.bind:jakarta.xml.bind-api:2.3.2;org.glassfish.jaxb:txw2:2.3.2;org.jvnet.staxex:stax-ex:1.8.1;com.sun.xml.fastinfoset:FastInfoset:1.2.16;jakarta.activation:jakarta.activation-api:1.2.1;org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.4.30;org.jetbrains.kotlin:kotlin-stdlib:1.4.30;org.jetbrains.kotlin:kotlin-stdlib-common:1.4.30;org.jetbrains:annotations:13.0;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.4.30
