number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
21,com.linkedin.pegasus:r2-jetty:2.1.0,org.jboss.netty:netty:3.2.3.Final,5612,4035,816,12369,4340,6551,6551,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
22,com.linkedin.pegasus:r2-jetty:2.1.0,javax.mail:mail:1.4.1,4632,2252,470,4653,3197,5235,5235,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
23,com.linkedin.pegasus:r2-jetty:2.1.0,javax.activation:activation:1.1,961,264,194,311,603,949,949,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
24,com.linkedin.pegasus:r2-jetty:2.1.0,org.iq80.snappy:snappy:0.3,125,152,56,141,130,445,445,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
25,com.linkedin.pegasus:r2-jetty:2.1.0,javax.servlet:javax.servlet-api:3.0.1,350,604,89,272,220,82,82,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
26,com.linkedin.pegasus:r2-jetty:2.1.0,org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106,16997,9024,1995,30314,14058,41939,41939,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
27,com.linkedin.pegasus:r2-jetty:2.1.0,org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016,317,604,89,272,220,82,82,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106
28,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,380,1372,38,1047,446,180,180,com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
29,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.google.api-client:google-api-client:1.22.0,1012,996,519,763,1118,2098,2098,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
30,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.google.oauth-client:google-oauth-client:1.22.0,377,469,168,353,372,1592,1592,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
